Protein identifier	Gene symbol	Sequence name	Scope	Element type	Element subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference sequence	% Identity to reference sequence	Alignment length	Accession of closest sequence	Name of closest sequence	HMM id	HMM description
DLFM03_01160|S20_CTX_1|gene-4|+|4657-5385|complete	blaIND	IND family subclass B1 metallo-beta-lactamase	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	BLASTP	243	242	100.00	95.45	242	WP_002979282.1	IND family subclass B1 metallo-beta-lactamase CGB-1	NF012149.0	IND family subclass B1 metallo-beta-lactamase
DLFM03_01174|S20_GEN_3|gene-3|+|581-1375|complete	aac(3)	aminoglycoside 3-N-acetyltransferase	core	AMR	AMR	AMINOGLYCOSIDE	GENTAMICIN	HMM	265	NA	NA	NA	NA	NA	NA	NF033082.0	aminoglycoside 3-N-acetyltransferase
DLFM03_01192|S20_TET_26|gene-3|-|1753-2952|complete	tet	Tet(A)/Tet(B)/Tet(C) family tetracycline efflux MFS transporter	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	HMM	400	NA	NA	NA	NA	NA	NA	NF012174.0	Tet(A)/Tet(B)/Tet(C) family tetracycline efflux MFS transporter
DLFM03_01224|S20_TMP_172|gene-6|+|2655-3125|complete	aac(3)-I	AAC(3)-I family aminoglycoside 3-N-acetyltransferase	core	AMR	AMR	AMINOGLYCOSIDE	GENTAMICIN	HMM	157	NA	NA	NA	NA	NA	NA	NF033083.0	AAC(3)-I family aminoglycoside 3-N-acetyltransferase
DLFM03_01261|S19_CHL_3|gene-2|-|387-1031|complete	catA	type A chloramphenicol O-acetyltransferase	core	AMR	AMR	PHENICOL	CHLORAMPHENICOL	HMM	215	NA	NA	NA	NA	NA	NA	NF000491.1	type A chloramphenicol O-acetyltransferase
DLFM03_01269|S19_PIP_16|gene-1|-|273-1046|complete	bla2	BcII family subclass B1 metallo-beta-lactamase	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	BLASTP	258	257	100.00	92.22	257	WP_063839879.1	BcII family subclass B1 metallo-beta-lactamase	NF033095.1	BcII family subclass B1 metallo-beta-lactamase
DLFM03_01270|S19_TZP_6|gene-1|-|519-1292|complete	bla2	BcII family subclass B1 metallo-beta-lactamase	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	BLASTP	258	257	100.00	93.00	257	WP_063839879.1	BcII family subclass B1 metallo-beta-lactamase	NF033095.1	BcII family subclass B1 metallo-beta-lactamase
DLFM03_01308|S19_PIP_3|gene-2|+|286-1170|complete	bla	class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	295	NA	NA	NA	NA	NA	NA	NF033103.1	class A beta-lactamase
DLFM03_01345|S19_ATM_1|gene-1|-|63-956|complete	bla	class A beta-lactamase, subclass A2	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	298	NA	NA	NA	NA	NA	NA	NF012099.1	class A beta-lactamase, subclass A2
DLFM03_01369|S19_TET_4|gene-2|-|596-1738|complete	tet(54)	tetracycline destructase Tet(54)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTP	381	388	97.94	99.47	380	WP_099982811.1	tetracycline destructase Tet(54)	NF033476.1	tetracycline destructase
DLFM03_01371|S19_PEN_4|gene-6|-|4248-5132|complete	bla	class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	295	NA	NA	NA	NA	NA	NA	NF033103.1	class A beta-lactamase
DLFM03_01427|S19_FOX_1|gene-3|+|1676-2539|complete	bla	subclass B3 metallo-beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	288	NA	NA	NA	NA	NA	NA	NF033105.1	subclass B3 metallo-beta-lactamase
DLFM03_01435|S18_PEN_2|gene-2|+|759-1619|complete	blaTEM	TEM family class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTP	287	286	99.65	99.65	285	WP_000027060.1	class A beta-lactamase TEM-181	NF000531.2	TEM family class A beta-lactamase
DLFM03_01443|S17_ATM_4|gene-2|+|285-1265|complete	bla	class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	327	NA	NA	NA	NA	NA	NA	NF033103.1	class A beta-lactamase
DLFM03_01459|S17_ATM_7|gene-2|-|268-1167|complete	bla	class A beta-lactamase, subclass A2	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	300	NA	NA	NA	NA	NA	NA	NF012099.1	class A beta-lactamase, subclass A2
DLFM03_01464|S17_TMP_94|gene-3|+|982-1218|complete	dfrB	trimethoprim-resistant dihydrofolate reductase DfrB	core	AMR	AMR	TRIMETHOPRIM	TRIMETHOPRIM	BLASTP	79	78	100.00	92.31	78	WP_010890144.1	trimethoprim-resistant dihydrofolate reductase DfrB3	NF000331.1	trimethoprim-resistant dihydrofolate reductase DfrB
DLFM03_01471|S17_PEN_2|gene-3|-|2600-3775|complete	ampC	class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	392	NA	NA	NA	NA	NA	NA	NF033085.1	class C beta-lactamase
DLFM03_01486|S17_CAZ_2|gene-6|-|4290-5255|complete	bla	class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	322	NA	NA	NA	NA	NA	NA	NF033103.1	class A beta-lactamase
DLFM03_01514|S17_TET_12|gene-2|+|1000-2202|complete	tet	Tet(A)/Tet(B)/Tet(C) family tetracycline efflux MFS transporter	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	HMM	401	NA	NA	NA	NA	NA	NA	NF012174.0	Tet(A)/Tet(B)/Tet(C) family tetracycline efflux MFS transporter
DLFM03_01518|S17_TET_9|gene-2|+|378-1541|complete	tet	tetracycline destructase	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	HMM	388	NA	NA	NA	NA	NA	NA	NF033476.1	tetracycline destructase
DLFM03_01602|S17_ATM_6|gene-1|+|102-1130|complete	bla	class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	343	NA	NA	NA	NA	NA	NA	NF033103.1	class A beta-lactamase
DLFM03_01630|S16_PIP_2|gene-3|-|981-1874|complete	blaOXA	class D beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	298	NA	NA	NA	NA	NA	NA	NF012161.0	class D beta-lactamase
DLFM03_01644|S16_FOX_1|gene-2|+|104-991|complete	bla	subclass B3 metallo-beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	296	NA	NA	NA	NA	NA	NA	NF033105.1	subclass B3 metallo-beta-lactamase
DLFM03_01651|S16_PIP_4|gene-3|+|1150-2343|complete	ampC	class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	398	NA	NA	NA	NA	NA	NA	NF033085.1	class C beta-lactamase
DLFM03_01657|S16_PEN_3|gene-2|+|1193-2086|complete	blaOXA	class D beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	298	NA	NA	NA	NA	NA	NA	NF012161.0	class D beta-lactamase
DLFM03_01658|S16_GEN_8|gene-2|-|1136-1966|complete	aac(3)	aminoglycoside 3-N-acetyltransferase	core	AMR	AMR	AMINOGLYCOSIDE	GENTAMICIN	HMM	277	NA	NA	NA	NA	NA	NA	NF033082.0	aminoglycoside 3-N-acetyltransferase
DLFM03_01702|S16_PEN_2|gene-3|-|2544-3506|complete	bla	class A beta-lactamase, subclass A2	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	321	NA	NA	NA	NA	NA	NA	NF012099.1	class A beta-lactamase, subclass A2
DLFM03_01793|S16_TZP_2|gene-3|-|981-1874|complete	blaOXA	class D beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	298	NA	NA	NA	NA	NA	NA	NF012161.0	class D beta-lactamase
DLFM03_01820|S16_PEN_7|gene-2|+|1416-2384|complete	bla	class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	323	NA	NA	NA	NA	NA	NA	NF033103.1	class A beta-lactamase
DLFM03_01821|S16_PEN_1|gene-3|+|2228-3361|complete	bla	class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	378	NA	NA	NA	NA	NA	NA	NF033103.1	class A beta-lactamase
DLFM03_01840|S16_TMP_194|gene-2|+|976-1212|complete	dfrB	trimethoprim-resistant dihydrofolate reductase DfrB	core	AMR	AMR	TRIMETHOPRIM	TRIMETHOPRIM	HMM	79	NA	NA	NA	NA	NA	NA	NF000331.1	trimethoprim-resistant dihydrofolate reductase DfrB
DLFM03_01857|S15_GEN_3|gene-2|-|1157-1840|complete	aac(3)	aminoglycoside 3-N-acetyltransferase	core	AMR	AMR	AMINOGLYCOSIDE	GENTAMICIN	HMM	228	NA	NA	NA	NA	NA	NA	NF033082.0	aminoglycoside 3-N-acetyltransferase
DLFM03_01861|S15_CTX_1|gene-7|+|2201-3022|complete	bla	metallo-beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	274	NA	NA	NA	NA	NA	NA	NF012229.1	metallo-beta-lactamase
DLFM03_01890|S15_ATM_13|gene-2|-|493-1368|complete	bla	class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	292	NA	NA	NA	NA	NA	NA	NF033103.1	class A beta-lactamase
DLFM03_01891|S15_PEN_2|gene-3|-|1261-2052|complete	blaOXA	class D beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	264	NA	NA	NA	NA	NA	NA	NF012161.0	class D beta-lactamase
DLFM03_01905|S15_GEN_4|gene-3|-|1649-2458|complete	aac(3)	aminoglycoside 3-N-acetyltransferase	core	AMR	AMR	AMINOGLYCOSIDE	GENTAMICIN	HMM	270	NA	NA	NA	NA	NA	NA	NF033082.0	aminoglycoside 3-N-acetyltransferase
DLFM03_01917|S15_PIP_1|gene-1|-|512-1372|complete	blaTEM	TEM family class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTP	287	286	100.00	99.30	286	WP_000027060.1	class A beta-lactamase TEM-181	NF000531.2	TEM family class A beta-lactamase
DLFM03_01918|S15_PEN_4|gene-3|-|1018-2208|complete	ampC	class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	397	NA	NA	NA	NA	NA	NA	NF033085.1	class C beta-lactamase
DLFM03_01940|S15_TET_14|gene-1|-|10-1173|complete	tet(53)	tetracycline destructase Tet(53)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTP	388	387	100.00	99.48	387	WP_099982810.1	tetracycline destructase Tet(53)	NF033476.1	tetracycline destructase
DLFM03_01971|S14_ATM_4|gene-1|+|322-1155|complete	blaOXA	class D beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	278	NA	NA	NA	NA	NA	NA	NF012161.0	class D beta-lactamase
DLFM03_01972|S14_FOX_1|gene-2|+|314-1168|complete	bla	subclass B3 metallo-beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	285	NA	NA	NA	NA	NA	NA	NF033105.1	subclass B3 metallo-beta-lactamase
DLFM03_01981|S14_PIP_2|gene-3|-|1739-2593|complete	bla	subclass B3 metallo-beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	285	NA	NA	NA	NA	NA	NA	NF033105.1	subclass B3 metallo-beta-lactamase
DLFM03_01988|S14_TZP_3|gene-4|-|1739-2593|complete	bla	subclass B3 metallo-beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	285	NA	NA	NA	NA	NA	NA	NF033105.1	subclass B3 metallo-beta-lactamase
DLFM03_01989|S14_TET_3|gene-2|+|835-2007|complete	tet(52)	tetracycline destructase Tet(52)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTP	391	390	100.00	99.23	390	WP_099982809.1	tetracycline destructase Tet(52)	NF033476.1	tetracycline destructase
DLFM03_01990|S14_TET_2|gene-2|-|489-1652|complete	tet(51)	tetracycline destructase Tet(51)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTP	388	387	100.00	99.74	387	WP_099982808.1	tetracycline destructase Tet(51)	NF033476.1	tetracycline destructase
DLFM03_01995|S14_ATM_2|gene-1|+|250-1050|complete	bla	class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	267	NA	NA	NA	NA	NA	NA	NF033103.1	class A beta-lactamase
DLFM03_01999|S14_PEN_5|gene-2|-|435-1418|complete	bla	class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	328	NA	NA	NA	NA	NA	NA	NF033103.1	class A beta-lactamase
DLFM03_02001|S14_PEN_1|gene-2|+|313-1167|complete	bla	subclass B3 metallo-beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	285	NA	NA	NA	NA	NA	NA	NF033105.1	subclass B3 metallo-beta-lactamase
DLFM03_02009|S14_ATM_1|gene-3|+|1428-2243|complete	blaOXA	class D beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	272	NA	NA	NA	NA	NA	NA	NF012161.0	class D beta-lactamase
DLFM03_02035|S13_PEN_3|gene-3|+|1357-2283|complete	bla	class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	309	NA	NA	NA	NA	NA	NA	NF033103.1	class A beta-lactamase
DLFM03_02036|S13_PEN_1|gene-2|+|318-1292|complete	bla	class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	325	NA	NA	NA	NA	NA	NA	NF033103.1	class A beta-lactamase
DLFM03_02042|S13_FOX_1001|gene-3|-|1113-1877|complete	bla	subclass B3 metallo-beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	255	NA	NA	NA	NA	NA	NA	NF033105.1	subclass B3 metallo-beta-lactamase
DLFM03_02100|S13_CAZ_2|gene-2|+|348-974|complete	bla	metallo-beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	209	NA	NA	NA	NA	NA	NA	NF012229.1	metallo-beta-lactamase
DLFM03_02101|S13_FOX_2|gene-2|+|211-1053|complete	bla	subclass B3 metallo-beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	281	NA	NA	NA	NA	NA	NA	NF033105.1	subclass B3 metallo-beta-lactamase
DLFM03_02149|S13_CAZ_1015|gene-2|+|1097-2059|complete	bla	class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	321	NA	NA	NA	NA	NA	NA	NF033103.1	class A beta-lactamase
DLFM03_02152|S13_CAZ_1010|gene-2|+|630-1550|complete	bla	subclass B3 metallo-beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	307	NA	NA	NA	NA	NA	NA	NF033105.1	subclass B3 metallo-beta-lactamase
DLFM03_02153|S13_CAZ_1012|gene-1|-|67-1017|complete	bla	class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	317	NA	NA	NA	NA	NA	NA	NF033103.1	class A beta-lactamase
DLFM03_02167|S13_CAZ_1008|gene-1|+|63-1070|complete	bla	class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	336	NA	NA	NA	NA	NA	NA	NF033103.1	class A beta-lactamase
DLFM03_02168|S13_CAZ_1009|gene-2|-|1416-2369|complete	bla	class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	318	NA	NA	NA	NA	NA	NA	NF033103.1	class A beta-lactamase
DLFM03_02199|S13_TMP_103|gene-3|-|1187-1423|complete	dfrB	trimethoprim-resistant dihydrofolate reductase DfrB	core	AMR	AMR	TRIMETHOPRIM	TRIMETHOPRIM	BLASTP	79	78	100.00	92.31	78	WP_010890144.1	trimethoprim-resistant dihydrofolate reductase DfrB3	NF000331.1	trimethoprim-resistant dihydrofolate reductase DfrB
DLFM03_02213|S13_ATM_22|gene-2|+|619-1452|complete	blaOXA	class D beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	278	NA	NA	NA	NA	NA	NA	NF012161.0	class D beta-lactamase
DLFM03_02243|S13_ATM_1001|gene-2|+|605-1438|complete	blaOXA	class D beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	278	NA	NA	NA	NA	NA	NA	NF012161.0	class D beta-lactamase
DLFM03_02244|S13_ATM_1002|gene-2|-|445-1338|complete	bla	class A beta-lactamase, subclass A2	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	298	NA	NA	NA	NA	NA	NA	NF012099.1	class A beta-lactamase, subclass A2
DLFM03_02248|S13_CAZ_1002|gene-2|+|249-1190|complete	bla	class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	314	NA	NA	NA	NA	NA	NA	NF033103.1	class A beta-lactamase
DLFM03_02273|S13_CTX_1|gene-1|+|117-1124|complete	bla	class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	336	NA	NA	NA	NA	NA	NA	NF033103.1	class A beta-lactamase
DLFM03_02279|S13_FOX_1|gene-1|+|21-911|complete	bla	subclass B3 metallo-beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	297	NA	NA	NA	NA	NA	NA	NF033105.1	subclass B3 metallo-beta-lactamase
DLFM03_02300|S13_CTX_1001|gene-3|-|1659-2666|complete	bla	class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	336	NA	NA	NA	NA	NA	NA	NF033103.1	class A beta-lactamase
DLFM03_02357|S12_CTX_2|gene-3|-|2399-3331|complete	bla	class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	311	NA	NA	NA	NA	NA	NA	NF012167.0	class A beta-lactamase
DLFM03_02364|S12_CAZ_16|gene-3|-|1493-2407|complete	bla	subclass B3 metallo-beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	305	NA	NA	NA	NA	NA	NA	NF033105.1	subclass B3 metallo-beta-lactamase
DLFM03_02365|S12_CAZ_13|gene-1|+|25-924|complete	blaOXA	class D beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	300	NA	NA	NA	NA	NA	NA	NF000270.1	class D beta-lactamase
DLFM03_02376|S12_CAZ_2|gene-3|-|1406-2341|complete	bla	class A beta-lactamase, subclass A2	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	312	NA	NA	NA	NA	NA	NA	NF012099.1	class A beta-lactamase, subclass A2
DLFM03_02379|S12_CAZ_17|gene-2|+|573-1472|complete	bla	class A beta-lactamase, subclass A2	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	300	NA	NA	NA	NA	NA	NA	NF012099.1	class A beta-lactamase, subclass A2
DLFM03_02388|S12_PEN_5|gene-1|-|166-1014|complete	bla	class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	283	NA	NA	NA	NA	NA	NA	NF033103.1	class A beta-lactamase
DLFM03_02397|S12_CAZ_14|gene-3|+|847-1665|complete	bla	subclass B1 metallo-beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	273	NA	NA	NA	NA	NA	NA	NF033088.1	subclass B1 metallo-beta-lactamase
DLFM03_02398|S12_CAZ_10|gene-4|-|1736-2614|complete	bla	subclass B3 metallo-beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	293	NA	NA	NA	NA	NA	NA	NF033105.1	subclass B3 metallo-beta-lactamase
DLFM03_02436|S12_CAZ_6|gene-2|-|903-1925|complete	bla	class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	341	NA	NA	NA	NA	NA	NA	NF033103.1	class A beta-lactamase
DLFM03_02437|S12_FOX_1|gene-3|-|1131-2183|complete	bla	subclass B3 metallo-beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	351	NA	NA	NA	NA	NA	NA	NF033105.1	subclass B3 metallo-beta-lactamase
DLFM03_02438|S12_FOX_2|gene-2|-|285-1127|complete	bla	subclass B3 metallo-beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	281	NA	NA	NA	NA	NA	NA	NF033105.1	subclass B3 metallo-beta-lactamase
DLFM03_02445|S12_TET_13|gene-2|+|228-1412|complete	tet	Tet(A)/Tet(B)/Tet(C) family tetracycline efflux MFS transporter	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	HMM	395	NA	NA	NA	NA	NA	NA	NF012174.0	Tet(A)/Tet(B)/Tet(C) family tetracycline efflux MFS transporter
DLFM03_02465|S12_PEN_1|gene-3|-|973-1872|complete	bla	class A beta-lactamase, subclass A2	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	300	NA	NA	NA	NA	NA	NA	NF012099.1	class A beta-lactamase, subclass A2
DLFM03_02492|S12_TET_34|gene-2|+|614-1792|complete	tet	Tet(A)/Tet(B)/Tet(C) family tetracycline efflux MFS transporter	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	HMM	393	NA	NA	NA	NA	NA	NA	NF012174.0	Tet(A)/Tet(B)/Tet(C) family tetracycline efflux MFS transporter
DLFM03_02532|S11_CHL_3|gene-2|-|530-1183|complete	catA	type A chloramphenicol O-acetyltransferase	core	AMR	AMR	PHENICOL	CHLORAMPHENICOL	HMM	218	NA	NA	NA	NA	NA	NA	NF000491.1	type A chloramphenicol O-acetyltransferase
DLFM03_02535|S11_CAZ_7|gene-3|+|1092-1979|complete	bla	class A beta-lactamase, subclass A2	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	296	NA	NA	NA	NA	NA	NA	NF012099.1	class A beta-lactamase, subclass A2
DLFM03_02544|S11_FOX_1|gene-2|-|812-1702|complete	bla	subclass B3 metallo-beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	297	NA	NA	NA	NA	NA	NA	NF033105.1	subclass B3 metallo-beta-lactamase
DLFM03_02545|S11_PEN_1|gene-5|+|2904-4085|complete	ampC	class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	394	NA	NA	NA	NA	NA	NA	NF033085.1	class C beta-lactamase
DLFM03_02546|S11_PEN_2|gene-3|+|635-1426|complete	blaOXA	class D beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	264	NA	NA	NA	NA	NA	NA	NF012161.0	class D beta-lactamase
DLFM03_02547|S11_CAZ_6|gene-2|+|428-1381|complete	bla	subclass B3 metallo-beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	318	NA	NA	NA	NA	NA	NA	NF033105.1	subclass B3 metallo-beta-lactamase
DLFM03_02568|S11_PIP_1|gene-2|+|588-1442|complete	bla	subclass B3 metallo-beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	285	NA	NA	NA	NA	NA	NA	NF033105.1	subclass B3 metallo-beta-lactamase
DLFM03_02576|S11_CAZ_4|gene-2|+|373-1275|complete	bla	subclass B3 metallo-beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	301	NA	NA	NA	NA	NA	NA	NF033105.1	subclass B3 metallo-beta-lactamase
DLFM03_02577|S11_TET_4|gene-2|-|713-1897|complete	tet	Tet(A)/Tet(B)/Tet(C) family tetracycline efflux MFS transporter	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	HMM	395	NA	NA	NA	NA	NA	NA	NF012174.0	Tet(A)/Tet(B)/Tet(C) family tetracycline efflux MFS transporter
DLFM03_02578|S11_TET_5|gene-3|+|2393-3556|complete	tet(49)	tetracycline destructase Tet(49)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTP	388	387	100.00	99.74	387	WP_099982806.1	tetracycline destructase Tet(49)	NF033476.1	tetracycline destructase
DLFM03_02579|S11_TET_9|gene-3|+|861-2039|complete	tet	Tet(A)/Tet(B)/Tet(C) family tetracycline efflux MFS transporter	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	HMM	393	NA	NA	NA	NA	NA	NA	NF012174.0	Tet(A)/Tet(B)/Tet(C) family tetracycline efflux MFS transporter
DLFM03_02603|S11_TET_7|gene-3|-|1957-3123|complete	tet(50)	tetracycline destructase Tet(50)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTP	389	388	100.00	100.00	388	WP_099982807.1	tetracycline destructase Tet(50)	NF033476.1	tetracycline destructase
DLFM03_02629|S10_FOX_6|gene-2|-|1042-1932|complete	bla	subclass B3 metallo-beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	297	NA	NA	NA	NA	NA	NA	NF033105.1	subclass B3 metallo-beta-lactamase
DLFM03_02630|S10_FOX_3|gene-2|+|592-1479|complete	bla	subclass B3 metallo-beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	296	NA	NA	NA	NA	NA	NA	NF033105.1	subclass B3 metallo-beta-lactamase
DLFM03_02631|S10_CAZ_9|gene-3|+|1287-2102|complete	blaOXA	class D beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	272	NA	NA	NA	NA	NA	NA	NF000270.1	class D beta-lactamase
DLFM03_02632|S10_CAZ_8|gene-3|-|2139-3077|complete	bla	subclass B3 metallo-beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	313	NA	NA	NA	NA	NA	NA	NF033105.1	subclass B3 metallo-beta-lactamase
DLFM03_02633|S10_CAZ_1|gene-3|-|716-1609|complete	bla	class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	298	NA	NA	NA	NA	NA	NA	NF033103.1	class A beta-lactamase
DLFM03_02635|S10_CAZ_5|gene-2|+|357-1259|complete	bla	subclass B3 metallo-beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	301	NA	NA	NA	NA	NA	NA	NF033105.1	subclass B3 metallo-beta-lactamase
DLFM03_02663|S10_PIP_31|gene-2|-|254-1099|complete	bla	class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	282	NA	NA	NA	NA	NA	NA	NF033103.1	class A beta-lactamase
DLFM03_02706|S10_CHL_3|gene-2|-|768-1427|complete	catA	type A chloramphenicol O-acetyltransferase	core	AMR	AMR	PHENICOL	CHLORAMPHENICOL	HMM	220	NA	NA	NA	NA	NA	NA	NF000491.1	type A chloramphenicol O-acetyltransferase
DLFM03_02709|S10_PIP_23|gene-2|+|751-1566|complete	blaOXA	class D beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	272	NA	NA	NA	NA	NA	NA	NF012161.0	class D beta-lactamase
DLFM03_02754|S10_PIP_1|gene-1|+|106-927|complete	blaOXA	class D beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	274	NA	NA	NA	NA	NA	NA	NF000270.1	class D beta-lactamase
DLFM03_02755|S10_CHL_7|gene-1|-|210-863|complete	catA	type A chloramphenicol O-acetyltransferase	core	AMR	AMR	PHENICOL	CHLORAMPHENICOL	HMM	218	NA	NA	NA	NA	NA	NA	NF000491.1	type A chloramphenicol O-acetyltransferase
