Accession	family	query_name	Resfams_description
MB-RF157	vanY	gb|ABA71729.1|ARO:3002959|vanYG1	VanY: glycopeptide resistance gene [ARO:3000077]	371.9
MB-RF039	CMY-MOX-FOX	gb|CAA56561.1|ARO:3003553|CepS	A grouping of related CMY, MOX, FOX betalactamase (class C)	780.2
MB-RF038	CMY-LAT-MOX-ACT-MIR-FOX	gb|CAA56561.1|ARO:3003553|CepS	"A grouping of the related CMY, LAT, MOX, ACT, MIR, and FOX beta-lactamases (class c)" [ARO:3000072;ARO:3000058;ARO:3000067;ARO:3000084;ARO:3000069;ARO:3000083]	615.6
MB-RF036	ClassC-AmpC	gb|CAA56561.1|ARO:3003553|CepS	Class C beta-lactamases [ARO:3000076;ARO:3000019]	593.3
MB-RF040	CMY	gb|AGC54799.1|ARO:3002108|CMY-95	CMY betalactamase (class C) [ARO:3000069]	846.0
MB-RF038	CMY-LAT-MOX-ACT-MIR-FOX	gb|AGC54799.1|ARO:3002108|CMY-95	"A grouping of the related CMY, LAT, MOX, ACT, MIR, and FOX beta-lactamases (class c)" [ARO:3000072;ARO:3000058;ARO:3000067;ARO:3000084;ARO:3000069;ARO:3000083]	682.5
MB-RF036	ClassC-AmpC	gb|AGC54799.1|ARO:3002108|CMY-95	Class C beta-lactamases [ARO:3000076;ARO:3000019]	650.1
MB-RF127	TEM	gb|AGK40892.1|ARO:3001384|TEM-207	TEM beta-lactamase (class a) [ARO:3000014]	671.2
MB-RF034	ClassA	gb|AGK40892.1|ARO:3001384|TEM-207	Class A beta-lactamase [ARO:3000078]	472.4
MB-RF055	Erm23SRibosomalRNAMethyltransferase	gb|AAC36915.1|ARO:3000593|ErmQ	Emr 23S ribosomal RNA methyltransferase: rRNA methyltransferase conferring antibiotic resistance [ARO:3000560]	248.7
MB-RF058	ErmC	gb|AAC36915.1|ARO:3000593|ErmQ	ErmC: Erm 23S ribosomal RNA methyltransferase: rRNA methyltransferase conferring antibiotic resistance [ARO:3000250]	245.5
MB-RF065	IND	gb|ADK25050.1|ARO:3002267|IND-11	IND beta-lactamases (subclass B1 (metallo-) beta-lactamase) [ARO:3000060]	526.1
MB-RF123	SubclassB1	gb|ADK25050.1|ARO:3002267|IND-11	"Subclass B1 (metallo-) beta-lactamase hydrolize penicillins, cephalosporins and carbapenems" [ARO:3000568]	325.1
MB-RF035	ClassB	gb|ADK25050.1|ARO:3002267|IND-11	Class B beta-lactamase [ARO:3000004]	245.7
MB-RF109	robA	gb|AAS79458.1|ARO:3001302|chrB	robA: transcriptional activator of AcrAB antibiotic efflux pump [ARO:3000825]	417.4
MB-RF060	GMR	gb|AAS79458.1|ARO:3001302|chrB	determinant of Gene Modulating Resistance	43.8
MB-RF115	SHV	gb|AAK69828.1|ARO:3001090|SHV-32	SHV related beta-lactamase (class a)	665.2
MB-RF114	SHV-LEN	gb|AAK69828.1|ARO:3001090|SHV-32	A grouping of the related SHV and LEN beta-lactamases (class a) [ARO:3000096]	659.9
MB-RF113	SHV-LEN-OKP	gb|AAK69828.1|ARO:3001090|SHV-32	A grouping of the related SHV, LEN, and OKP beta-lactamases (class a) [ARO:3000096]	654.6
MB-RF034	ClassA	gb|AAK69828.1|ARO:3001090|SHV-32	Class A beta-lactamase [ARO:3000078]	460.7
MB-RF048	CTX-M	gb|ADY02545.1|ARO:3001960|CTX-M-101	CTX-M beta-lactamase (class a) [ARO:3000016]	625.1
MB-RF034	ClassA	gb|ADY02545.1|ARO:3001960|CTX-M-101	Class A beta-lactamase [ARO:3000078]	390.9
MB-RF040	CMY	gb|AIT76091.1|ARO:3002129|CMY-118	CMY betalactamase (class C) [ARO:3000069]	847.5
MB-RF038	CMY-LAT-MOX-ACT-MIR-FOX	gb|AIT76091.1|ARO:3002129|CMY-118	"A grouping of the related CMY, LAT, MOX, ACT, MIR, and FOX beta-lactamases (class c)" [ARO:3000072;ARO:3000058;ARO:3000067;ARO:3000084;ARO:3000069;ARO:3000083]	687.9
MB-RF036	ClassC-AmpC	gb|AIT76091.1|ARO:3002129|CMY-118	Class C beta-lactamases [ARO:3000076;ARO:3000019]	656.3
MB-RF040	CMY	gb|ABN51007.1|ARO:3002046|CMY-35	CMY betalactamase (class C) [ARO:3000069]	846.3
MB-RF038	CMY-LAT-MOX-ACT-MIR-FOX	gb|ABN51007.1|ARO:3002046|CMY-35	"A grouping of the related CMY, LAT, MOX, ACT, MIR, and FOX beta-lactamases (class c)" [ARO:3000072;ARO:3000058;ARO:3000067;ARO:3000084;ARO:3000069;ARO:3000083]	684.9
MB-RF036	ClassC-AmpC	gb|ABN51007.1|ARO:3002046|CMY-35	Class C beta-lactamases [ARO:3000076;ARO:3000019]	653.1
MB-RF115	SHV	gb|CAJ47133.2|ARO:3001132|SHV-78	SHV related beta-lactamase (class a)	666.9
MB-RF114	SHV-LEN	gb|CAJ47133.2|ARO:3001132|SHV-78	A grouping of the related SHV and LEN beta-lactamases (class a) [ARO:3000096]	661.7
MB-RF113	SHV-LEN-OKP	gb|CAJ47133.2|ARO:3001132|SHV-78	A grouping of the related SHV, LEN, and OKP beta-lactamases (class a) [ARO:3000096]	656.5
MB-RF034	ClassA	gb|CAJ47133.2|ARO:3001132|SHV-78	Class A beta-lactamase [ARO:3000078]	463.5
MB-RF065	IND	gb|AAG29757.1|ARO:3002257|IND-2	IND beta-lactamases (subclass B1 (metallo-) beta-lactamase) [ARO:3000060]	527.1
MB-RF123	SubclassB1	gb|AAG29757.1|ARO:3002257|IND-2	"Subclass B1 (metallo-) beta-lactamase hydrolize penicillins, cephalosporins and carbapenems" [ARO:3000568]	325.9
MB-RF035	ClassB	gb|AAG29757.1|ARO:3002257|IND-2	Class B beta-lactamase [ARO:3000004]	245.8
MB-RF100	OXA-cluster7	gb|ADK35871.1|ARO:3001467|OXA-167	OXA beta-lactamase (cluster 7), part of ClassD beta-lactamase [ARO:3000017]	571.1
MB-RF093	OXA	gb|ADK35871.1|ARO:3001467|OXA-167	OXA beta-lactamase, part of ClassD beta-lactamase [ARO:3000017]	377.1
MB-RF037	ClassD	gb|ADK35871.1|ARO:3001467|OXA-167	Class D beta-lactamases [ARO:3000075;ARO:3000017]	369.3
MB-RF100	OXA-cluster7	gb|ACX70402.1|ARO:3001654|OXA-143	OXA beta-lactamase (cluster 7), part of ClassD beta-lactamase [ARO:3000017]	548.4
MB-RF093	OXA	gb|ACX70402.1|ARO:3001654|OXA-143	OXA beta-lactamase, part of ClassD beta-lactamase [ARO:3000017]	371.5
MB-RF037	ClassD	gb|ACX70402.1|ARO:3001654|OXA-143	Class D beta-lactamases [ARO:3000075;ARO:3000017]	359.7
MB-RF127	TEM	gb|ADB90239.1|ARO:3001041|TEM-176	TEM beta-lactamase (class a) [ARO:3000014]	671.7
MB-RF034	ClassA	gb|ADB90239.1|ARO:3001041|TEM-176	Class A beta-lactamase [ARO:3000078]	474.1
MB-RF049	DHA	gb|AAG36927.1|ARO:3002133|DHA-2	DHA beta-lactamase (class c) [ARO:3000068]	890.3
MB-RF036	ClassC-AmpC	gb|AAG36927.1|ARO:3002133|DHA-2	Class C beta-lactamases [ARO:3000076;ARO:3000019]	566.1
MB-RF048	CTX-M	gb|BAD16611.1|ARO:3001898|CTX-M-36	CTX-M beta-lactamase (class a) [ARO:3000016]	626.0
MB-RF034	ClassA	gb|BAD16611.1|ARO:3001898|CTX-M-36	Class A beta-lactamase [ARO:3000078]	391.8
MB-RF127	TEM	gb|CAJ32372.1|ARO:3001015|TEM-148	TEM beta-lactamase (class a) [ARO:3000014]	671.3
MB-RF034	ClassA	gb|CAJ32372.1|ARO:3001015|TEM-148	Class A beta-lactamase [ARO:3000078]	473.9
MB-RF101	OXA-cluster8	gb|AGZ83154.1|ARO:3001545|OXA-358	OXA beta-lactamase (cluster 8), part of ClassD beta-lactamase [ARO:3000017]	580.1
MB-RF093	OXA	gb|AGZ83154.1|ARO:3001545|OXA-358	OXA beta-lactamase, part of ClassD beta-lactamase [ARO:3000017]	391.3
MB-RF037	ClassD	gb|AGZ83154.1|ARO:3001545|OXA-358	Class D beta-lactamases [ARO:3000075;ARO:3000017]	385.3
MB-RF100	OXA-cluster7	gb|AJO16038.1|ARO:3001553|OXA-366	OXA beta-lactamase (cluster 7), part of ClassD beta-lactamase [ARO:3000017]	571.0
MB-RF093	OXA	gb|AJO16038.1|ARO:3001553|OXA-366	OXA beta-lactamase, part of ClassD beta-lactamase [ARO:3000017]	377.6
MB-RF037	ClassD	gb|AJO16038.1|ARO:3001553|OXA-366	Class D beta-lactamases [ARO:3000075;ARO:3000017]	369.7
MB-RF048	CTX-M	gb|BAD83775.1|ARO:3001897|CTX-M-35	CTX-M beta-lactamase (class a) [ARO:3000016]	612.8
MB-RF034	ClassA	gb|BAD83775.1|ARO:3001897|CTX-M-35	Class A beta-lactamase [ARO:3000078]	400.8
MB-RF125	SubclassB3	gb|CAB96921.1|ARO:3000606|FEZ-1	"Subclass B3 (metallo-) beta-lactamase hydrolize penicillins, cephalosporins and carbapenems" [ARO:3000571]	367.6
MB-RF035	ClassB	gb|CAB96921.1|ARO:3000606|FEZ-1	Class B beta-lactamase [ARO:3000004]	187.5
MB-RF014	ANT3	gb|ABG49324.1|ARO:3002609|aadA9	Aminoglycoside Nucleotidyltransferase (ANT3) [ARO:3000232]	447.1
MB-RF012	ANT	gb|ABG49324.1|ARO:3002609|aadA9	Aminoglycoside Nucleotidyltransferase	402.5
MB-RF011	Aminoglycoside	gb|ABG49324.1|ARO:3002609|aadA9	Determinant of Aminoglycoside Resistance	296.8
MB-RF116	LEN	gb|CAP12351.2|ARO:3002470|LEN-23	LEN related beta-lactamase (class a)	666.2
MB-RF114	SHV-LEN	gb|CAP12351.2|ARO:3002470|LEN-23	A grouping of the related SHV and LEN beta-lactamases (class a) [ARO:3000096]	628.9
MB-RF113	SHV-LEN-OKP	gb|CAP12351.2|ARO:3002470|LEN-23	A grouping of the related SHV, LEN, and OKP beta-lactamases (class a) [ARO:3000096]	627.0
MB-RF034	ClassA	gb|CAP12351.2|ARO:3002470|LEN-23	Class A beta-lactamase [ARO:3000078]	441.9
MB-RF009	adeC-adeK-oprM	gb|AAG05883.1|ARO:3000805|OprN	adeC-adeK-oprM: outer membrane factor the multidrug efflux complex [ARO:3000776;ARO:3000782;ARO:3000379]	476.7
MB-RF072	macA	gb|AAG05883.1|ARO:3000805|OprN	macA: subunit of efflux pump conferring antibiotic resistance [ARO:3000533]	149.7
MB-RF108	RNDefflux	gb|AAG05883.1|ARO:3000805|OprN	resistance-nodulation-cell division (RND) antibiotic efflux pump [ARO:0010004]	113.0
MB-RF006	ABCAntibioticEffluxPump	gb|AAG05883.1|ARO:3000805|OprN	ATP-binding cassette (ABC) antibiotic efflux pump [ARO:0010001]	81.6
MB-RF145	TetY	gb|CAA78046.1|ARO:3002701|Rhodococcus	tetY: tetracycline resistance MFS efflux pump [ARO:3000182]	277.3
MB-RF142	Tetracycline_Resistance_MFS_Efflux_Pump	gb|CAA78046.1|ARO:3002701|Rhodococcus	tetracycline resistance MFS efflux pump: selectively pump out tetracycline or tetracycline derivatives [ARO:3000239]	171.2
MB-RF086	MFSAntibioticEffluxPump	gb|CAA78046.1|ARO:3002701|Rhodococcus	major facilitator superfamily (MFS) antibiotic efflux pump	35.4
MB-RF100	OXA-cluster7	gb|AEP43731.1|ARO:3001493|OXA-225	OXA beta-lactamase (cluster 7), part of ClassD beta-lactamase [ARO:3000017]	569.5
MB-RF093	OXA	gb|AEP43731.1|ARO:3001493|OXA-225	OXA beta-lactamase, part of ClassD beta-lactamase [ARO:3000017]	375.1
MB-RF037	ClassD	gb|AEP43731.1|ARO:3001493|OXA-225	Class D beta-lactamases [ARO:3000075;ARO:3000017]	367.0
MB-RF059	GES	gb|ADZ48685.1|ARO:3002346|GES-17	GES beta-lactamase (class a) [ARO:3000066]	675.5
MB-RF034	ClassA	gb|ADZ48685.1|ARO:3002346|GES-17	Class A beta-lactamase [ARO:3000078]	305.9
MB-RF048	CTX-M	gb|AJO16046.1|ARO:3003167|CTX-M-159	CTX-M beta-lactamase (class a) [ARO:3000016]	609.0
MB-RF034	ClassA	gb|AJO16046.1|ARO:3003167|CTX-M-159	Class A beta-lactamase [ARO:3000078]	384.8
MB-RF063	IMP	gb|ACY01749.1|ARO:3002217|IMP-26	Plasmid mediated IMP-type carbapenemases (subclass B1 (metallo-) beta-lactamase) [ARO:3000020]	532.2
MB-RF035	ClassB	gb|ACY01749.1|ARO:3002217|IMP-26	Class B beta-lactamase [ARO:3000004]	265.9
MB-RF123	SubclassB1	gb|ACY01749.1|ARO:3002217|IMP-26	"Subclass B1 (metallo-) beta-lactamase hydrolize penicillins, cephalosporins and carbapenems" [ARO:3000568]	261.8
MB-RF127	TEM	gb|ACI25375.1|ARO:3001032|TEM-166	TEM beta-lactamase (class a) [ARO:3000014]	670.0
MB-RF034	ClassA	gb|ACI25375.1|ARO:3001032|TEM-166	Class A beta-lactamase [ARO:3000078]	472.5
MB-RF034	ClassA	gb|CAA37699.1|ARO:3003565|r39	Class A beta-lactamase [ARO:3000078]	274.1
MB-RF030	CARB	gb|AHJ02283.1|ARO:3003186|CARB-23	CARB-PSE beta-lactamases (class a) [ARO:3000091;ARO:3000092]	509.7
MB-RF034	ClassA	gb|AHJ02283.1|ARO:3003186|CARB-23	Class A beta-lactamase [ARO:3000078]	353.5
MB-RF072	macA	gb|BAA34299.1|ARO:3003034|mexX	macA: subunit of efflux pump conferring antibiotic resistance [ARO:3000533]	237.3
MB-RF006	ABCAntibioticEffluxPump	gb|BAA34299.1|ARO:3003034|mexX	ATP-binding cassette (ABC) antibiotic efflux pump [ARO:0010001]	173.4
MB-RF108	RNDefflux	gb|BAA34299.1|ARO:3003034|mexX	resistance-nodulation-cell division (RND) antibiotic efflux pump [ARO:0010004]	151.5
MB-RF086	MFSAntibioticEffluxPump	gb|BAA34299.1|ARO:3003034|mexX	major facilitator superfamily (MFS) antibiotic efflux pump	48.3
MB-RF009	adeC-adeK-oprM	gb|ALX99516.1|ARO:3003811|adeC	adeC-adeK-oprM: outer membrane factor the multidrug efflux complex [ARO:3000776;ARO:3000782;ARO:3000379]	594.0
MB-RF072	macA	gb|ALX99516.1|ARO:3003811|adeC	macA: subunit of efflux pump conferring antibiotic resistance [ARO:3000533]	204.2
MB-RF108	RNDefflux	gb|ALX99516.1|ARO:3003811|adeC	resistance-nodulation-cell division (RND) antibiotic efflux pump [ARO:0010004]	199.9
MB-RF086	MFSAntibioticEffluxPump	gb|ALX99516.1|ARO:3003811|adeC	major facilitator superfamily (MFS) antibiotic efflux pump	120.6
MB-RF006	ABCAntibioticEffluxPump	gb|ALX99516.1|ARO:3003811|adeC	ATP-binding cassette (ABC) antibiotic efflux pump [ARO:0010001]	115.1
MB-RF102	OXY	gb|CAI43413.1|ARO:3002390|OXY-1-2	OXY beta-lactamases [ARO:3002388]	641.9
MB-RF034	ClassA	gb|CAI43413.1|ARO:3002390|OXY-1-2	Class A beta-lactamase [ARO:3000078]	390.4
MB-RF040	CMY	gb|AFK73431.1|ARO:3002062|CMY-51	CMY betalactamase (class C) [ARO:3000069]	845.5
MB-RF038	CMY-LAT-MOX-ACT-MIR-FOX	gb|AFK73431.1|ARO:3002062|CMY-51	"A grouping of the related CMY, LAT, MOX, ACT, MIR, and FOX beta-lactamases (class c)" [ARO:3000072;ARO:3000058;ARO:3000067;ARO:3000084;ARO:3000069;ARO:3000083]	686.7
MB-RF036	ClassC-AmpC	gb|AFK73431.1|ARO:3002062|CMY-51	Class C beta-lactamases [ARO:3000076;ARO:3000019]	656.0
MB-RF063	IMP	gb|CAA11471.1|ARO:3002192|IMP-1	Plasmid mediated IMP-type carbapenemases (subclass B1 (metallo-) beta-lactamase) [ARO:3000020]	541.5
MB-RF035	ClassB	gb|CAA11471.1|ARO:3002192|IMP-1	Class B beta-lactamase [ARO:3000004]	273.2
MB-RF123	SubclassB1	gb|CAA11471.1|ARO:3002192|IMP-1	"Subclass B1 (metallo-) beta-lactamase hydrolize penicillins, cephalosporins and carbapenems" [ARO:3000568]	270.3
MB-RF023	baeS	gb|AAD51347.1|ARO:3003067|smeS	baeS: subunit of gene modulating antibiotic efflux [ARO:3000829]	672.8
MB-RF060	GMR	gb|AAD51347.1|ARO:3003067|smeS	determinant of Gene Modulating Resistance	123.1
MB-RF096	OXA-cluster3	gb|AAK52604.1|ARO:3001425|OXA-31	OXA beta-lactamase (cluster 3), part of ClassD beta-lactamase [ARO:3000017]	392.1
MB-RF037	ClassD	gb|AAK52604.1|ARO:3001425|OXA-31	Class D beta-lactamases [ARO:3000075;ARO:3000017]	268.9
MB-RF093	OXA	gb|AAK52604.1|ARO:3001425|OXA-31	OXA beta-lactamase, part of ClassD beta-lactamase [ARO:3000017]	264.4
MB-RF115	SHV	gb|CEA29751.1|ARO:3003155|SHV-188	SHV related beta-lactamase (class a)	661.6
MB-RF114	SHV-LEN	gb|CEA29751.1|ARO:3003155|SHV-188	A grouping of the related SHV and LEN beta-lactamases (class a) [ARO:3000096]	656.6
MB-RF113	SHV-LEN-OKP	gb|CEA29751.1|ARO:3003155|SHV-188	A grouping of the related SHV, LEN, and OKP beta-lactamases (class a) [ARO:3000096]	651.3
MB-RF034	ClassA	gb|CEA29751.1|ARO:3003155|SHV-188	Class A beta-lactamase [ARO:3000078]	462.9
MB-RF102	OXY	gb|AAN28732.1|ARO:3002409|OXY-3-1	OXY beta-lactamases [ARO:3002388]	619.0
MB-RF034	ClassA	gb|AAN28732.1|ARO:3002409|OXY-3-1	Class A beta-lactamase [ARO:3000078]	388.3
MB-RF149	vanC	gb|ABX54687.1|ARO:3002910|vanL	VanC: D-Ala-D-Ala ligase that can synthesize D-Ala-D-Ser [ARO:3000368]	640.9
MB-RF113	SHV-LEN-OKP	gb|CAA71948.1|ARO:3001065|SHV-6	A grouping of the related SHV, LEN, and OKP beta-lactamases (class a) [ARO:3000096]	592.1
MB-RF034	ClassA	gb|CAA71948.1|ARO:3001065|SHV-6	Class A beta-lactamase [ARO:3000078]	422.3
MB-RF047	PDC	gb|ACQ82810.1|ARO:3002502|PDC-5	PDC betalactamase (class C) [ARO:3000098]	875.6
MB-RF038	CMY-LAT-MOX-ACT-MIR-FOX	gb|ACQ82810.1|ARO:3002502|PDC-5	"A grouping of the related CMY, LAT, MOX, ACT, MIR, and FOX beta-lactamases (class c)" [ARO:3000072;ARO:3000058;ARO:3000067;ARO:3000084;ARO:3000069;ARO:3000083]	606.3
MB-RF036	ClassC-AmpC	gb|ACQ82810.1|ARO:3002502|PDC-5	Class C beta-lactamases [ARO:3000076;ARO:3000019]	581.6
MB-RF127	TEM	gb|CAD09800.1|ARO:3000873|TEM-1	TEM beta-lactamase (class a) [ARO:3000014]	673.8
MB-RF034	ClassA	gb|CAD09800.1|ARO:3000873|TEM-1	Class A beta-lactamase [ARO:3000078]	473.7
MB-RF055	Erm23SRibosomalRNAMethyltransferase	gb|CAA44667.1|ARO:3001305|ErmU	Emr 23S ribosomal RNA methyltransferase: rRNA methyltransferase conferring antibiotic resistance [ARO:3000560]	297.2
MB-RF058	ErmC	gb|CAA44667.1|ARO:3001305|ErmU	ErmC: Erm 23S ribosomal RNA methyltransferase: rRNA methyltransferase conferring antibiotic resistance [ARO:3000250]	296.8
MB-RF160	VIM	gb|AGE83081.2|ARO:3002308|VIM-38	Verone integron-encoded (VIM) metallo-beta-lactamase (subclass B1 (metallo-) beta-lactamase) [ARO:3000021]	588.7
MB-RF035	ClassB	gb|AGE83081.2|ARO:3002308|VIM-38	Class B beta-lactamase [ARO:3000004]	248.3
MB-RF123	SubclassB1	gb|AGE83081.2|ARO:3002308|VIM-38	"Subclass B1 (metallo-) beta-lactamase hydrolize penicillins, cephalosporins and carbapenems" [ARO:3000568]	208.7
MB-RF127	TEM	gb|AAS89982.1|ARO:3000975|TEM-112	TEM beta-lactamase (class a) [ARO:3000014]	669.4
MB-RF034	ClassA	gb|AAS89982.1|ARO:3000975|TEM-112	Class A beta-lactamase [ARO:3000078]	471.7
MB-RF004	AAC6-I	gb|AAF03531.1|ARO:3002569|AAC(6')-Iy	Aminoglycoside Acetyltransferase (AAC6-I) [ARO:3001207]	88.5
MB-RF011	Aminoglycoside	gb|AAF03531.1|ARO:3002569|AAC(6')-Iy	Determinant of Aminoglycoside Resistance	14.6
MB-RF098	OXA-cluster5	gb|AGI65307.1|ARO:3001681|OXA-278	OXA beta-lactamase (cluster 5), part of ClassD beta-lactamase [ARO:3000017]	574.5
MB-RF093	OXA	gb|AGI65307.1|ARO:3001681|OXA-278	OXA beta-lactamase, part of ClassD beta-lactamase [ARO:3000017]	367.7
MB-RF037	ClassD	gb|AGI65307.1|ARO:3001681|OXA-278	Class D beta-lactamases [ARO:3000075;ARO:3000017]	357.7
MB-RF034	ClassA	gb|BAP34782.1|ARO:3002008|CTX-M-151	Class A beta-lactamase [ARO:3000078]	338.1
MB-RF127	TEM	gb|ABG77582.1|ARO:3001021|TEM-155	TEM beta-lactamase (class a) [ARO:3000014]	670.1
MB-RF034	ClassA	gb|ABG77582.1|ARO:3001021|TEM-155	Class A beta-lactamase [ARO:3000078]	469.9
MB-RF040	CMY	gb|AFU25638.1|ARO:3002096|CMY-83	CMY betalactamase (class C) [ARO:3000069]	838.4
MB-RF038	CMY-LAT-MOX-ACT-MIR-FOX	gb|AFU25638.1|ARO:3002096|CMY-83	"A grouping of the related CMY, LAT, MOX, ACT, MIR, and FOX beta-lactamases (class c)" [ARO:3000072;ARO:3000058;ARO:3000067;ARO:3000084;ARO:3000069;ARO:3000083]	684.6
MB-RF036	ClassC-AmpC	gb|AFU25638.1|ARO:3002096|CMY-83	Class C beta-lactamases [ARO:3000076;ARO:3000019]	653.7
MB-RF127	TEM	gb|AAQ98890.1|ARO:3000984|TEM-122	TEM beta-lactamase (class a) [ARO:3000014]	672.1
MB-RF034	ClassA	gb|AAQ98890.1|ARO:3000984|TEM-122	Class A beta-lactamase [ARO:3000078]	472.2
MB-RF048	CTX-M	gb|AAM70498.1|ARO:3001887|CTX-M-25	CTX-M beta-lactamase (class a) [ARO:3000016]	608.4
MB-RF034	ClassA	gb|AAM70498.1|ARO:3001887|CTX-M-25	Class A beta-lactamase [ARO:3000078]	382.1
MB-RF030	CARB	gb|AFI72872.1|ARO:3002252|CARB-14	CARB-PSE beta-lactamases (class a) [ARO:3000091;ARO:3000092]	480.5
MB-RF034	ClassA	gb|AFI72872.1|ARO:3002252|CARB-14	Class A beta-lactamase [ARO:3000078]	368.2
MB-RF115	SHV	gb|CAB37325.2|ARO:3001074|SHV-15	SHV related beta-lactamase (class a)	665.2
MB-RF114	SHV-LEN	gb|CAB37325.2|ARO:3001074|SHV-15	A grouping of the related SHV and LEN beta-lactamases (class a) [ARO:3000096]	660.1
MB-RF113	SHV-LEN-OKP	gb|CAB37325.2|ARO:3001074|SHV-15	A grouping of the related SHV, LEN, and OKP beta-lactamases (class a) [ARO:3000096]	654.7
MB-RF034	ClassA	gb|CAB37325.2|ARO:3001074|SHV-15	Class A beta-lactamase [ARO:3000078]	464.3
MB-RF034	ClassA	gb|ACC99191.1|ARO:3001161|SHV-112	Class A beta-lactamase [ARO:3000078]	157.3
MB-RF115	SHV	gb|AAB51384.1|ARO:3001067|SHV-8	SHV related beta-lactamase (class a)	667.5
MB-RF114	SHV-LEN	gb|AAB51384.1|ARO:3001067|SHV-8	A grouping of the related SHV and LEN beta-lactamases (class a) [ARO:3000096]	662.3
MB-RF113	SHV-LEN-OKP	gb|AAB51384.1|ARO:3001067|SHV-8	A grouping of the related SHV, LEN, and OKP beta-lactamases (class a) [ARO:3000096]	657.1
MB-RF034	ClassA	gb|AAB51384.1|ARO:3001067|SHV-8	Class A beta-lactamase [ARO:3000078]	465.3
MB-RF145	TetY	gb|BAJ09383.1|ARO:3003046|qacA	tetY: tetracycline resistance MFS efflux pump [ARO:3000182]	417.2
MB-RF142	Tetracycline_Resistance_MFS_Efflux_Pump	gb|BAJ09383.1|ARO:3003046|qacA	tetracycline resistance MFS efflux pump: selectively pump out tetracycline or tetracycline derivatives [ARO:3000239]	314.4
MB-RF086	MFSAntibioticEffluxPump	gb|BAJ09383.1|ARO:3003046|qacA	major facilitator superfamily (MFS) antibiotic efflux pump	148.3
MB-RF045	MIR	gb|AAU95779.1|ARO:3002169|MIR-3	MIR betalactamase (class C) [ARO:3000058]	906.5
MB-RF038	CMY-LAT-MOX-ACT-MIR-FOX	gb|AAU95779.1|ARO:3002169|MIR-3	"A grouping of the related CMY, LAT, MOX, ACT, MIR, and FOX beta-lactamases (class c)" [ARO:3000072;ARO:3000058;ARO:3000067;ARO:3000084;ARO:3000069;ARO:3000083]	653.4
MB-RF036	ClassC-AmpC	gb|AAU95779.1|ARO:3002169|MIR-3	Class C beta-lactamases [ARO:3000076;ARO:3000019]	631.4
MB-RF113	SHV-LEN-OKP	gb|AAF34335.1|ARO:3001079|SHV-21	A grouping of the related SHV, LEN, and OKP beta-lactamases (class a) [ARO:3000096]	592.1
MB-RF034	ClassA	gb|AAF34335.1|ARO:3001079|SHV-21	Class A beta-lactamase [ARO:3000078]	423.9
MB-RF145	TetY	gb|AAC74149.2|ARO:3001216|mdtH	tetY: tetracycline resistance MFS efflux pump [ARO:3000182]	266.7
MB-RF086	MFSAntibioticEffluxPump	gb|AAC74149.2|ARO:3001216|mdtH	major facilitator superfamily (MFS) antibiotic efflux pump	37.5
MB-RF127	TEM	gb|AJO16044.1|ARO:3001391|TEM-214	TEM beta-lactamase (class a) [ARO:3000014]	671.4
MB-RF034	ClassA	gb|AJO16044.1|ARO:3001391|TEM-214	Class A beta-lactamase [ARO:3000078]	472.8
MB-RF101	OXA-cluster8	gb|ACX31140.1|ARO:3001453|OXA-148	OXA beta-lactamase (cluster 8), part of ClassD beta-lactamase [ARO:3000017]	619.1
MB-RF093	OXA	gb|ACX31140.1|ARO:3001453|OXA-148	OXA beta-lactamase, part of ClassD beta-lactamase [ARO:3000017]	411.9
MB-RF037	ClassD	gb|ACX31140.1|ARO:3001453|OXA-148	Class D beta-lactamases [ARO:3000075;ARO:3000017]	401.8
MB-RF048	CTX-M	gb|AHA80961.1|ARO:3002005|CTX-M-147	CTX-M beta-lactamase (class a) [ARO:3000016]	627.3
MB-RF034	ClassA	gb|AHA80961.1|ARO:3002005|CTX-M-147	Class A beta-lactamase [ARO:3000078]	397.1
MB-RF004	AAC6-I	gb|AAC14693.1|ARO:3002637|APH(2'')-IVa	Aminoglycoside Acetyltransferase (AAC6-I) [ARO:3001207]	120.2
MB-RF011	Aminoglycoside	gb|AAC14693.1|ARO:3002637|APH(2'')-IVa	Determinant of Aminoglycoside Resistance	16.6
MB-RF097	OXA-cluster4	gb|AFP97030.1|ARO:3001797|OXA-46	OXA beta-lactamase (cluster 4), part of ClassD beta-lactamase [ARO:3000017]	569.0
MB-RF093	OXA	gb|AFP97030.1|ARO:3001797|OXA-46	OXA beta-lactamase, part of ClassD beta-lactamase [ARO:3000017]	317.9
MB-RF037	ClassD	gb|AFP97030.1|ARO:3001797|OXA-46	Class D beta-lactamases [ARO:3000075;ARO:3000017]	311.5
MB-RF113	SHV-LEN-OKP	gb|CAG25835.1|ARO:3002458|LEN-8	A grouping of the related SHV, LEN, and OKP beta-lactamases (class a) [ARO:3000096]	567.4
MB-RF034	ClassA	gb|CAG25835.1|ARO:3002458|LEN-8	Class A beta-lactamase [ARO:3000078]	407.6
MB-RF072	macA	gb|AAC75135.2|ARO:3000792|mdtA	macA: subunit of efflux pump conferring antibiotic resistance [ARO:3000533]	205.3
MB-RF006	ABCAntibioticEffluxPump	gb|AAC75135.2|ARO:3000792|mdtA	ATP-binding cassette (ABC) antibiotic efflux pump [ARO:0010001]	140.9
